instruction,cypher
Count shipments by transport mode.,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) RETURN t.name, count(sh) ORDER BY count(sh) DESC;"
List warehouses where Product 'Widget' is stored.,MATCH (p:Product {name:'Widget'})-[:STORED_AT]->(w:Warehouse) RETURN w.name;
Which supplier has the highest average lead time?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.lead_time) AS avg_lead RETURN s.name, avg_lead ORDER BY avg_lead DESC LIMIT 1;"
Top 5 products by total ordered quantity.,"MATCH (p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH p, sum(o.quantity) AS qty RETURN p.name, qty ORDER BY qty DESC LIMIT 5;"
Show orders delayed by more than 7 days.,"MATCH (o:CustomerOrder) WHERE o.delay > 7 RETURN o.id, o.delay ORDER BY o.delay DESC;"
Which supplier has the highest average lead time?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.lead_time) AS avg_lead RETURN s.name, avg_lead ORDER BY avg_lead DESC LIMIT 1;"
Show orders delayed by more than 7 days.,"MATCH (o:CustomerOrder) WHERE o.delay > 7 RETURN o.id, o.delay ORDER BY o.delay DESC;"
List top 3 suppliers by average delivery delay.,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.delay) AS avg_delay RETURN s.name, avg_delay ORDER BY avg_delay DESC LIMIT 3;"
List top 3 suppliers by average delivery delay.,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.delay) AS avg_delay RETURN s.name, avg_delay ORDER BY avg_delay DESC LIMIT 3;"
Top 5 products by total ordered quantity.,"MATCH (p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH p, sum(o.quantity) AS qty RETURN p.name, qty ORDER BY qty DESC LIMIT 5;"
Count shipments by transport mode.,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) RETURN t.name, count(sh) ORDER BY count(sh) DESC;"
Which transport mode has the highest average delay?,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) MATCH (sh)-[:TO_ORDER]->(o:CustomerOrder) WITH t, avg(o.delay) AS avg_delay RETURN t.name, avg_delay ORDER BY avg_delay DESC LIMIT 1;"
Which warehouse handles the most shipments?,"MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC LIMIT 1;"
Which supplier has the highest average lead time?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.lead_time) AS avg_lead RETURN s.name, avg_lead ORDER BY avg_lead DESC LIMIT 1;"
List top 3 suppliers by average delivery delay.,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.delay) AS avg_delay RETURN s.name, avg_delay ORDER BY avg_delay DESC LIMIT 3;"
Top 5 products by total ordered quantity.,"MATCH (p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH p, sum(o.quantity) AS qty RETURN p.name, qty ORDER BY qty DESC LIMIT 5;"
Count shipments by transport mode.,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) RETURN t.name, count(sh) ORDER BY count(sh) DESC;"
Which transport mode has the highest average delay?,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) MATCH (sh)-[:TO_ORDER]->(o:CustomerOrder) WITH t, avg(o.delay) AS avg_delay RETURN t.name, avg_delay ORDER BY avg_delay DESC LIMIT 1;"
Count shipments by transport mode.,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) RETURN t.name, count(sh) ORDER BY count(sh) DESC;"
Top 5 products by total ordered quantity.,"MATCH (p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH p, sum(o.quantity) AS qty RETURN p.name, qty ORDER BY qty DESC LIMIT 5;"
Which suppliers are associated with the most delayed orders?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WHERE o.delay > 0 WITH s, count(o) AS delayed RETURN s.name, delayed ORDER BY delayed DESC LIMIT 5;"
List top 3 suppliers by average delivery delay.,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.delay) AS avg_delay RETURN s.name, avg_delay ORDER BY avg_delay DESC LIMIT 3;"
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
Which warehouse handles the most shipments?,"MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC LIMIT 1;"
Which warehouse handles the most shipments?,"MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC LIMIT 1;"
Which supplier has the highest average lead time?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.lead_time) AS avg_lead RETURN s.name, avg_lead ORDER BY avg_lead DESC LIMIT 1;"
Which supplier has the highest average lead time?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.lead_time) AS avg_lead RETURN s.name, avg_lead ORDER BY avg_lead DESC LIMIT 1;"
List top 3 suppliers by average delivery delay.,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.delay) AS avg_delay RETURN s.name, avg_delay ORDER BY avg_delay DESC LIMIT 3;"
Which suppliers are associated with the most delayed orders?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WHERE o.delay > 0 WITH s, count(o) AS delayed RETURN s.name, delayed ORDER BY delayed DESC LIMIT 5;"
Which products are stored at WH_North?,MATCH (p:Product)-[:STORED_AT]->(w:Warehouse {name:'WH_North'}) RETURN p.name;
List warehouses where Product 'Widget' is stored.,MATCH (p:Product {name:'Widget'})-[:STORED_AT]->(w:Warehouse) RETURN w.name;
Count shipments by transport mode.,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) RETURN t.name, count(sh) ORDER BY count(sh) DESC;"
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
Count shipments by transport mode.,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) RETURN t.name, count(sh) ORDER BY count(sh) DESC;"
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
Which warehouse handles the most shipments?,"MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC LIMIT 1;"
Which transport mode has the highest average delay?,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) MATCH (sh)-[:TO_ORDER]->(o:CustomerOrder) WITH t, avg(o.delay) AS avg_delay RETURN t.name, avg_delay ORDER BY avg_delay DESC LIMIT 1;"
Which warehouse handles the most shipments?,"MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC LIMIT 1;"
Which transport mode has the highest average delay?,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) MATCH (sh)-[:TO_ORDER]->(o:CustomerOrder) WITH t, avg(o.delay) AS avg_delay RETURN t.name, avg_delay ORDER BY avg_delay DESC LIMIT 1;"
List top 3 suppliers by average delivery delay.,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.delay) AS avg_delay RETURN s.name, avg_delay ORDER BY avg_delay DESC LIMIT 3;"
Which transport mode has the highest average delay?,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) MATCH (sh)-[:TO_ORDER]->(o:CustomerOrder) WITH t, avg(o.delay) AS avg_delay RETURN t.name, avg_delay ORDER BY avg_delay DESC LIMIT 1;"
Which suppliers are associated with the most delayed orders?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WHERE o.delay > 0 WITH s, count(o) AS delayed RETURN s.name, delayed ORDER BY delayed DESC LIMIT 5;"
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
Top 5 products by total ordered quantity.,"MATCH (p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH p, sum(o.quantity) AS qty RETURN p.name, qty ORDER BY qty DESC LIMIT 5;"
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
Show orders delayed by more than 7 days.,"MATCH (o:CustomerOrder) WHERE o.delay > 7 RETURN o.id, o.delay ORDER BY o.delay DESC;"
Show orders delayed by more than 7 days.,"MATCH (o:CustomerOrder) WHERE o.delay > 7 RETURN o.id, o.delay ORDER BY o.delay DESC;"
List warehouses where Product 'Widget' is stored.,MATCH (p:Product {name:'Widget'})-[:STORED_AT]->(w:Warehouse) RETURN w.name;
Which supplier has the highest average lead time?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.lead_time) AS avg_lead RETURN s.name, avg_lead ORDER BY avg_lead DESC LIMIT 1;"
Top 5 products by total ordered quantity.,"MATCH (p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH p, sum(o.quantity) AS qty RETURN p.name, qty ORDER BY qty DESC LIMIT 5;"
Show orders delayed by more than 7 days.,"MATCH (o:CustomerOrder) WHERE o.delay > 7 RETURN o.id, o.delay ORDER BY o.delay DESC;"
Which suppliers are associated with the most delayed orders?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WHERE o.delay > 0 WITH s, count(o) AS delayed RETURN s.name, delayed ORDER BY delayed DESC LIMIT 5;"
Which warehouse handles the most shipments?,"MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC LIMIT 1;"
Which suppliers are associated with the most delayed orders?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WHERE o.delay > 0 WITH s, count(o) AS delayed RETURN s.name, delayed ORDER BY delayed DESC LIMIT 5;"
Top 5 products by total ordered quantity.,"MATCH (p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH p, sum(o.quantity) AS qty RETURN p.name, qty ORDER BY qty DESC LIMIT 5;"
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
Count shipments by transport mode.,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) RETURN t.name, count(sh) ORDER BY count(sh) DESC;"
Show orders delayed by more than 7 days.,"MATCH (o:CustomerOrder) WHERE o.delay > 7 RETURN o.id, o.delay ORDER BY o.delay DESC;"
Show orders delayed by more than 7 days.,"MATCH (o:CustomerOrder) WHERE o.delay > 7 RETURN o.id, o.delay ORDER BY o.delay DESC;"
Which transport mode has the highest average delay?,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) MATCH (sh)-[:TO_ORDER]->(o:CustomerOrder) WITH t, avg(o.delay) AS avg_delay RETURN t.name, avg_delay ORDER BY avg_delay DESC LIMIT 1;"
Which warehouse handles the most shipments?,"MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC LIMIT 1;"
List warehouses where Product 'Widget' is stored.,MATCH (p:Product {name:'Widget'})-[:STORED_AT]->(w:Warehouse) RETURN w.name;
Show orders delayed by more than 7 days.,"MATCH (o:CustomerOrder) WHERE o.delay > 7 RETURN o.id, o.delay ORDER BY o.delay DESC;"
Count shipments by transport mode.,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) RETURN t.name, count(sh) ORDER BY count(sh) DESC;"
Which products are stored at WH_North?,MATCH (p:Product)-[:STORED_AT]->(w:Warehouse {name:'WH_North'}) RETURN p.name;
Which products are stored at WH_North?,MATCH (p:Product)-[:STORED_AT]->(w:Warehouse {name:'WH_North'}) RETURN p.name;
Which transport mode has the highest average delay?,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) MATCH (sh)-[:TO_ORDER]->(o:CustomerOrder) WITH t, avg(o.delay) AS avg_delay RETURN t.name, avg_delay ORDER BY avg_delay DESC LIMIT 1;"
Show orders delayed by more than 7 days.,"MATCH (o:CustomerOrder) WHERE o.delay > 7 RETURN o.id, o.delay ORDER BY o.delay DESC;"
Count shipments by transport mode.,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) RETURN t.name, count(sh) ORDER BY count(sh) DESC;"
List top 3 suppliers by average delivery delay.,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.delay) AS avg_delay RETURN s.name, avg_delay ORDER BY avg_delay DESC LIMIT 3;"
List warehouses where Product 'Widget' is stored.,MATCH (p:Product {name:'Widget'})-[:STORED_AT]->(w:Warehouse) RETURN w.name;
Which products are stored at WH_North?,MATCH (p:Product)-[:STORED_AT]->(w:Warehouse {name:'WH_North'}) RETURN p.name;
Which products are stored at WH_North?,MATCH (p:Product)-[:STORED_AT]->(w:Warehouse {name:'WH_North'}) RETURN p.name;
Which suppliers are associated with the most delayed orders?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WHERE o.delay > 0 WITH s, count(o) AS delayed RETURN s.name, delayed ORDER BY delayed DESC LIMIT 5;"
List warehouses where Product 'Widget' is stored.,MATCH (p:Product {name:'Widget'})-[:STORED_AT]->(w:Warehouse) RETURN w.name;
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
List warehouses where Product 'Widget' is stored.,MATCH (p:Product {name:'Widget'})-[:STORED_AT]->(w:Warehouse) RETURN w.name;
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
Which transport mode has the highest average delay?,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) MATCH (sh)-[:TO_ORDER]->(o:CustomerOrder) WITH t, avg(o.delay) AS avg_delay RETURN t.name, avg_delay ORDER BY avg_delay DESC LIMIT 1;"
Which products are stored at WH_North?,MATCH (p:Product)-[:STORED_AT]->(w:Warehouse {name:'WH_North'}) RETURN p.name;
Which suppliers are associated with the most delayed orders?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WHERE o.delay > 0 WITH s, count(o) AS delayed RETURN s.name, delayed ORDER BY delayed DESC LIMIT 5;"
Top 5 products by total ordered quantity.,"MATCH (p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH p, sum(o.quantity) AS qty RETURN p.name, qty ORDER BY qty DESC LIMIT 5;"
Which suppliers are associated with the most delayed orders?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WHERE o.delay > 0 WITH s, count(o) AS delayed RETURN s.name, delayed ORDER BY delayed DESC LIMIT 5;"
Which products are stored at WH_North?,MATCH (p:Product)-[:STORED_AT]->(w:Warehouse {name:'WH_North'}) RETURN p.name;
Top 5 products by total ordered quantity.,"MATCH (p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH p, sum(o.quantity) AS qty RETURN p.name, qty ORDER BY qty DESC LIMIT 5;"
Which transport mode has the highest average delay?,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) MATCH (sh)-[:TO_ORDER]->(o:CustomerOrder) WITH t, avg(o.delay) AS avg_delay RETURN t.name, avg_delay ORDER BY avg_delay DESC LIMIT 1;"
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
Which suppliers are associated with the most delayed orders?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WHERE o.delay > 0 WITH s, count(o) AS delayed RETURN s.name, delayed ORDER BY delayed DESC LIMIT 5;"
List top 3 suppliers by average delivery delay.,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.delay) AS avg_delay RETURN s.name, avg_delay ORDER BY avg_delay DESC LIMIT 3;"
Top 5 products by total ordered quantity.,"MATCH (p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH p, sum(o.quantity) AS qty RETURN p.name, qty ORDER BY qty DESC LIMIT 5;"
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
Which warehouse handles the most shipments?,"MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC LIMIT 1;"
List warehouses where Product 'Widget' is stored.,MATCH (p:Product {name:'Widget'})-[:STORED_AT]->(w:Warehouse) RETURN w.name;
Show orders delayed by more than 7 days.,"MATCH (o:CustomerOrder) WHERE o.delay > 7 RETURN o.id, o.delay ORDER BY o.delay DESC;"
Which products are stored at WH_North?,MATCH (p:Product)-[:STORED_AT]->(w:Warehouse {name:'WH_North'}) RETURN p.name;
Which transport mode has the highest average delay?,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) MATCH (sh)-[:TO_ORDER]->(o:CustomerOrder) WITH t, avg(o.delay) AS avg_delay RETURN t.name, avg_delay ORDER BY avg_delay DESC LIMIT 1;"
Which warehouse handles the most shipments?,"MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC LIMIT 1;"
Which suppliers are associated with the most delayed orders?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WHERE o.delay > 0 WITH s, count(o) AS delayed RETURN s.name, delayed ORDER BY delayed DESC LIMIT 5;"
Which products are stored at WH_North?,MATCH (p:Product)-[:STORED_AT]->(w:Warehouse {name:'WH_North'}) RETURN p.name;
Show orders delayed by more than 7 days.,"MATCH (o:CustomerOrder) WHERE o.delay > 7 RETURN o.id, o.delay ORDER BY o.delay DESC;"
Which supplier has the highest average lead time?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.lead_time) AS avg_lead RETURN s.name, avg_lead ORDER BY avg_lead DESC LIMIT 1;"
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
Count shipments by transport mode.,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) RETURN t.name, count(sh) ORDER BY count(sh) DESC;"
Which transport mode has the highest average delay?,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) MATCH (sh)-[:TO_ORDER]->(o:CustomerOrder) WITH t, avg(o.delay) AS avg_delay RETURN t.name, avg_delay ORDER BY avg_delay DESC LIMIT 1;"
Which transport mode has the highest average delay?,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) MATCH (sh)-[:TO_ORDER]->(o:CustomerOrder) WITH t, avg(o.delay) AS avg_delay RETURN t.name, avg_delay ORDER BY avg_delay DESC LIMIT 1;"
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
Which supplier has the highest average lead time?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.lead_time) AS avg_lead RETURN s.name, avg_lead ORDER BY avg_lead DESC LIMIT 1;"
Top 5 products by total ordered quantity.,"MATCH (p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH p, sum(o.quantity) AS qty RETURN p.name, qty ORDER BY qty DESC LIMIT 5;"
Which suppliers are associated with the most delayed orders?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WHERE o.delay > 0 WITH s, count(o) AS delayed RETURN s.name, delayed ORDER BY delayed DESC LIMIT 5;"
Count shipments by transport mode.,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) RETURN t.name, count(sh) ORDER BY count(sh) DESC;"
Show orders delayed by more than 7 days.,"MATCH (o:CustomerOrder) WHERE o.delay > 7 RETURN o.id, o.delay ORDER BY o.delay DESC;"
List top 3 suppliers by average delivery delay.,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.delay) AS avg_delay RETURN s.name, avg_delay ORDER BY avg_delay DESC LIMIT 3;"
Which warehouse handles the most shipments?,"MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC LIMIT 1;"
List warehouses where Product 'Widget' is stored.,MATCH (p:Product {name:'Widget'})-[:STORED_AT]->(w:Warehouse) RETURN w.name;
Which supplier has the highest average lead time?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.lead_time) AS avg_lead RETURN s.name, avg_lead ORDER BY avg_lead DESC LIMIT 1;"
Which products are stored at WH_North?,MATCH (p:Product)-[:STORED_AT]->(w:Warehouse {name:'WH_North'}) RETURN p.name;
Which transport mode has the highest average delay?,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) MATCH (sh)-[:TO_ORDER]->(o:CustomerOrder) WITH t, avg(o.delay) AS avg_delay RETURN t.name, avg_delay ORDER BY avg_delay DESC LIMIT 1;"
Which warehouse handles the most shipments?,"MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC LIMIT 1;"
Top 5 products by total ordered quantity.,"MATCH (p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH p, sum(o.quantity) AS qty RETURN p.name, qty ORDER BY qty DESC LIMIT 5;"
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
Top 5 products by total ordered quantity.,"MATCH (p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH p, sum(o.quantity) AS qty RETURN p.name, qty ORDER BY qty DESC LIMIT 5;"
Which supplier has the highest average lead time?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.lead_time) AS avg_lead RETURN s.name, avg_lead ORDER BY avg_lead DESC LIMIT 1;"
List warehouses where Product 'Widget' is stored.,MATCH (p:Product {name:'Widget'})-[:STORED_AT]->(w:Warehouse) RETURN w.name;
Which products are stored at WH_North?,MATCH (p:Product)-[:STORED_AT]->(w:Warehouse {name:'WH_North'}) RETURN p.name;
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
Which transport mode has the highest average delay?,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) MATCH (sh)-[:TO_ORDER]->(o:CustomerOrder) WITH t, avg(o.delay) AS avg_delay RETURN t.name, avg_delay ORDER BY avg_delay DESC LIMIT 1;"
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
Which supplier has the highest average lead time?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.lead_time) AS avg_lead RETURN s.name, avg_lead ORDER BY avg_lead DESC LIMIT 1;"
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
Show orders delayed by more than 7 days.,"MATCH (o:CustomerOrder) WHERE o.delay > 7 RETURN o.id, o.delay ORDER BY o.delay DESC;"
Which transport mode has the highest average delay?,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) MATCH (sh)-[:TO_ORDER]->(o:CustomerOrder) WITH t, avg(o.delay) AS avg_delay RETURN t.name, avg_delay ORDER BY avg_delay DESC LIMIT 1;"
Which warehouse handles the most shipments?,"MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC LIMIT 1;"
Which suppliers are associated with the most delayed orders?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WHERE o.delay > 0 WITH s, count(o) AS delayed RETURN s.name, delayed ORDER BY delayed DESC LIMIT 5;"
Count shipments by transport mode.,"MATCH (sh:Shipment)-[:USES_TRANSPORT]->(t:TransportMode) RETURN t.name, count(sh) ORDER BY count(sh) DESC;"
List top 3 suppliers by average delivery delay.,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WITH s, avg(o.delay) AS avg_delay RETURN s.name, avg_delay ORDER BY avg_delay DESC LIMIT 3;"
Show orders delayed by more than 7 days.,"MATCH (o:CustomerOrder) WHERE o.delay > 7 RETURN o.id, o.delay ORDER BY o.delay DESC;"
"List warehouses and their shipment counts, descending.","MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC;"
Which suppliers are associated with the most delayed orders?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(o:CustomerOrder) WHERE o.delay > 0 WITH s, count(o) AS delayed RETURN s.name, delayed ORDER BY delayed DESC LIMIT 5;"
Which warehouse handles the most shipments?,"MATCH (w:Warehouse)<-[:SHIPPED_FROM]-(sh:Shipment) RETURN w.name, count(sh) ORDER BY count(sh) DESC LIMIT 1;"
Which products are stored at WH_North?,MATCH (p:Product)-[:STORED_AT]->(w:Warehouse {name:'WH_North'}) RETURN p.name;
